id,name,city,video,time_of_day,start_time,end_time
257,Sarajevo4,Sarajevo,XeH3whEhDOo,0,85,1966
262,Santo Domingo1,Santo Domingo,J7ONuy3XSd4,0,0,2782
262,Santo Domingo2,Santo Domingo,SPRj53rfVFM,0,5,1770
263,Valencia1,Valencia,G7wQRZ3nopk,0,0,2772
263,Valencia2,Valencia,PYYr6jDrPyY,0,50,884
264,Korçë1,Korçë,waRzDmTRpEo,1,0,3810
265,Łódź1,Łódź,5k3LuoGhMRA,0,94,1885
266,Liepaja1,Liepaja,Scquy5bjQJw,0,90,1402
267,Szczecin1,Szczecin,o1DWTDFKCsA,0,90,2900
267,Szczecin2,Szczecin,J5NGpLJRVvc,0,0,779
268,Hama1,Hama,4xUxRv8ZAl4,0,2,708
268,Hama2,Hama,ivYoHNpbeFs,0,0,1185
269,Tartus1,Tartus,aGuIh68N2l0,0,4,654
269,Tartus2,Tartus,trefTmZwvFo,0,0,725
269,Tartus3,Tartus,LvA7aHJLJ14,0,7,810
270,Havana1,Havana,vCywf9saDlY,0,0,3202
270,Havana2,Havana,7bWW844k0_U,0,11,901
270,Havana3,Havana,M-F686UyBIA,0,8,1332
270,Havana4,Havana,JFNlOkJ2wcM,0,8,815
270,Havana5,Havana,3a5DiQfi2-w,0,8,700
270,Havana6,Havana,U4mZyllqjdw,0,8,637
270,Havana7,Havana,dt1ttJMPuMo,0,8,700
270,Havana8,Havana,YqqL8uZqlak,0,8,673
270,Havana9,Havana,t9po9YPY4Rs,0,8,1368
270,Havana10,Havana,JFVZzxBpYR4,0,0,406
271,Yerevan1,Yerevan,kHWh0KgQqAc,0,0,1560
271,Yerevan3,Yerevan,N4e3sstFRQo,0,0,819
271,Yerevan4,Yerevan,dAd8LmWnYKw,0,0,725
271,Yerevan5,Yerevan,wYfceesH71A,0,0,1749
271,Yerevan6,Yerevan,8AGyUl37ylo,0,0,1077
271,Yerevan7,Yerevan,jY_qZQUX_JQ,0,0,366
271,Yerevan8,Yerevan,B0L6Gk9PZc8,0,0,309
271,Yerevan9,Yerevan,hCk-sB9c5ZA,0,0,1042
271,Yerevan10,Yerevan,jijudWmWfJA,0,0,973
271,Yerevan11,Yerevan,i2CTLS_8kJg,0,0,1266
272,Gyumri1,Gyumri,ROpZcgEsI7A,0,0,1283
272,Gyumri2,Gyumri,KJWORLxC84E,0,0,1742
273,Caracas3,Caracas,h5foQ470048,0,0,3688
273,Caracas4,Caracas,bHLOnAS4DiE,0,0,3089
275,Panama City1,Panama City,38bWKtCoF0k,0,0,1384
275,Panama City2,Panama City,ba_6eSH0JVw,0,0,972
275,Panama City3,Panama City,Fh5JkpAP63g,0,0,1800
275,Panama City4,Panama City,Z6eXMGbS8CY,0,21,1720
275,Panama City6,Panama City,NQP19oulslk,0,0,685
275,Panama City7,Panama City,NqA1PYhmKTY,0,5,1294
275,Panama City8,Panama City,TaHg6oZvHsA,0,40,2814
275,Panama City9,Panama City,RuqSbnAIF8Q,0,3,1456
275,Panama City10,Panama City,7dPOf3oVg6A,0,0,915
275,Panama City11,Panama City,8FUp_9LW0FU,0,0,2094
277,Lviv1,Lviv,ESycRog1sQA,0,45,1235
277,Lviv2,Lviv,C5ZVOFM1mgA,1,1,2560
277,Lviv3,Lviv,TIU74mppBEs,0,1,53
277,Lviv4,Lviv,nmFp8LR8bXw,0,1,1501
277,Lviv7,Lviv,RGOViRntIOU,0,32,1265
277,Lviv8,Lviv,3FVioUTFsIk,0,5,2121
277,Lviv10,Lviv,iVjEQWw6Bwg,0,1,614
277,Lviv12,Lviv,lNW0p-LljZI,0,1,886
277,Lviv13,Lviv,2-iYADzxhFw,0,1,969
277,Lviv14,Lviv,yIeCBNcyYd0,0,1,577
