id,name,city,video,time_of_day,start_time,end_time,downloaded,finished
277,Lviv,Lviv,ESycRog1sQA,0,45,1235,,
278,Sevastopol,Sevastopol,qiPbnvqdw_g,0,18,2480,,
279,Bila Tserkva,Bila Tserkva,9JRkkIIY6N0,0,41,1733,,
280,Chernivtsi,Chernivtsi,HIHqj8bo7Vk,0,1,1580,,
281,Dnipro,Dnipro,utGFyklNlpc,0,1,1423,,
282,Vasylkiv,Vasylkiv,m-2sDPZgYcQ,0,40,1475,,
283,Kharkiv,Kharkiv,PbEWojNwTKQ,0,1,269,,
284,Khmelnytskyi,Khmelnytskyi,de_W6Z1PAc0,0,1,596,,
285,Odesa,Odesa,JILxTxsN49k,0,1,2172,,
286,Uzhhorod,Uzhhorod,sPBEtLGzDn0,0,1,3177,,
287,Mykolaiv,Mykolaiv,A0fWs5Y0g08,0,1,1200,,
288,Zhytomyr,Zhytomyr,Kv_e8WOUTCg,0,1,677,,
290,Zaporizhzhia,Zaporizhzhia,A4cL3vNWCJY,0,20,1333,,
291,Vinnytsia,Vinnytsia,3Xn3KdRIUnc,0,1,695,,
292,Ternopil,Ternopil,lJBuNM3MQNE,0,13,1164,,
293,Ivano-Frankivsk,Ivano-Frankivsk,ohzl9Vcdyl0,0,3,1084,,
294,Luhansk,Luhansk,wB_FT9f41eA,0,1,1595,,
295,Melitopol,Melitopol,3mOYZXTIvjM,0,1,1366,,
296,Mariupol,Mariupol,IpHo3dvUdYc,0,1,400,,
300,Kherson,Kherson,WGjo8VncGqQ,0,71,210,,
301,Poltava,Poltava,xkAtt7yFRC0,0,29,1410,,
304,Simferopol,Simferopol,524HhzbbYtc,0,1,223,,
306,Sumy,Sumy,hri7Nh5lDfM,0,60,330,,
307,Chernihiv,Chernihiv,GdBblodlKkk,0,1,309,,
310,Lutsk,Lutsk,Xs7oGHqTYis,0,95,1378,,
311,Kryvyi Rih,Kryvyi Rih,5E7l734ku-8,0,20,1021,,
313,Kremenchuk,Kremenchuk,APLYNtBA5LE,0,66,1215,,
315,Cherkasy,Cherkasy,pbSxYRwJt8U,0,95,1669,,
316,Kropyvnytskyi,Kropyvnytskyi,1Fc_Tcjl6s0,0,31,785,,
319,Sarny,Sarny,s0q6hntdvqs,0,24,1179,,
321,Konotop,Konotop,ij-urgZpaQc,0,25,141,,
322,Uman,Uman,1Hac2cVkMCE,0,79,407,,
324,Voronezh,Voronezh,ARg7YuS9Smc,0,1,1564,,
325,Krasnodar,Krasnodar,KuUMduPeP4U,0,6,985,,
326,Yekaterinburg,Yekaterinburg,CArayrfolE8,0,60,1437,,
327,Novosibirsk,Novosibirsk,JDB3vQ8AOW4,0,81,184,,
328,Murmansk,Murmansk,GRXPi_jZ5rI,0,1,731,,
329,Rostov-on-Don,Rostov-on-Don,FV_xB23NaAw,0,24,1601,,
330,Tyumen,Tyumen,IknPmOLkeWM,0,1,1643,,
331,Omsk,Omsk,eH0Rw3f2LOc,0,1,2381,,
332,Kurgan,Kurgan,8NfZFxG_Phg,0,1,1644,,
333,Tobolsk,Tobolsk,8EFKlyw58Uo,0,1,1603,,
334,Irbit,Irbit,bhyIyHLJxYk,0,1,1395,,
336,Sochi,Sochi,izKS1HTT0pU,0,1,958,,
337,Khabarovsk,Khabarovsk,nOwLsRi61_E,1,19,1975,,
338,Kursk,Kursk,Lc0Y-Gtam8Q,0,39,947,,
340,Volgograd,Volgograd,1dJYyh9wcMQ,0,2,2788,,
341,Shadrinsk,Shadrinsk,utrQRrCm19E,0,16,778,,
343,Gelendzhik,Gelendzhik,Q7TjMdJ5WZk,0,11,1617,,
344,Tomsk,Tomsk,6c6OcQUyHSc,0,1,1020,,
345,Kamensk-Uralsky,Kamensk-Uralsky,pfHuIOQhUt4,0,28,942,,
347,Saint Petersburg,Saint Petersburg,vKD8_m88tuk,0,1,4406,,
348,Saratov,Saratov,7g031vJSoCo,0,1,2627,,
349,Lipetsk,Lipetsk,cuwfoxU7Uxw,0,2,990,,
350,Kirov,Kirov,7Xbi2LiYmD8,0,40,494,,
351,Samara,Samara,nSLBWzfcTnA,0,54,234,,
355,Podolsk,Podolsk,EsFYRxazowo,0,1,1827,,
357,Bryansk,Bryansk,IDVJ28LtBGc,0,0,1128,,
359,Kazan,Kazan,q7OC4VuTPVs,1,21,932,,
360,Naberezhnye Chelny,Naberezhnye Chelny,XXxgZoBKvUE,0,0,931,,
361,Krasnoyarsk,Krasnoyarsk,mUWRf5puR3U,0,35,2108,,
363,Brest,Brest,9D_bzVYS9v4,0,30,424,,
364,Polotsk,Polotsk,xl7AoP-WraU,0,70,1087,,
366,Gomel,Gomel,VVEagSMGUP4,0,0,600,,
367,Grodno,Grodno,gwQZGJLIssw,0,72,1144,,
368,Mogilev,Mogilev,BWHZyxm8xEs,0,16,776,,
370,Babruysk,Babruysk,YKfJc2VP5nM,0,48,2181,,
372,Rechytsa,Rechytsa,uI0nNHDBJLo,0,6,419,,
374,Pinsk,Pinsk,SoOV-9AMaoQ,0,19,510,,
375,Ivatsevichy,Ivatsevichy,G0ZJUdQQFRk,0,57,168,,
379,Tbilisi,Tbilisi,fAe9QhZW8ks,0,10,1462,,
380,Rustavi,Rustavi,jMbQ2K3nZo8,0,0,315,,
381,Batumi,Batumi,hYyx6gD-gd4,0,0,2583,,
382,Kutaisi,Kutaisi,kEz4RVtalxc,0,0,642,,
383,Zugdidi,Zugdidi,XfBh7HaZTck,0,10,1038,,
384,Poti,Poti,g7FDf34WbNg,0,20,369,,
385,Sukhumi,Sukhumi,7NkEw2HZERQ,0,8,1035,,
386,Vladivostok,Vladivostok,DoWNuThrb1I,0,0,736,,
387,Baku,Baku,KDHjh4WQvug,0,0,844,,
388,Shaki,Shaki,7MUN-26YS1E,0,11,1193,,
389,Xırdalan,Xırdalan,thn9uBVDG7o,0,16,818,,
390,Sumgait,Sumgait,QWmD2_-gFAo,0,55,680,,
392,Lankaran,Lankaran,c0dlpaspxd4,0,16,2161,,
393,Vagharshapat,Vagharshapat,vosNsn4HUL4,0,0,368,,
396,Armavir,Armavir,3TpgtM1Qje8,0,0,1149,,
397,Ijevan,Ijevan,LodEX7dc6Uk,0,44,734,,
399,Goris,Goris,W4HXW_xtJ6k,0,68,639,,
402,Arkhangelsk,Arkhangelsk,rfFQhm_SCzk,0,18,1431,,
403,Engels,Engels,dTmUQv3V6mE,0,30,1121,,
409,Kansk,Kansk,k72BFysB_zY,0,2,1646,,
416,Irkutsk,Irkutsk,vGc6uE5LaeI,0,90,795,,
417,Yakutsk,Yakutsk,f3nSUWzLL6M,0,0,587,,
418,Yuzhno-Sakhalinsk,Yuzhno-Sakhalinsk,uHu6O4_Z2L0,0,18,796,,
419,Apatity,Apatity,foAFGYA3fhc,0,20,146,,
423,Chita,Chita,sQqC2FNNMdM,0,0,187,,
426,Kaliningrad,Kaliningrad,cbRSL5ErGhM,0,19,1476,,
427,Stavropol,Stavropol,ba1IzyvSkgI,0,0,1250,,
429,Mikhaylovsk,Mikhaylovsk,vIyH8oNWXeY,0,0,118,,
431,Tuapse,Tuapse,6Wj7HetPeYE,0,0,960,,
432,Pyatigorsk,Pyatigorsk,tzpPEL0WgFs,0,0,303,,
436,Labinsk,Labinsk,m9Wgs7fZ5S8,0,0,562,,
439,Astrakhan,Astrakhan,Q3y1snZnnyg,0,20,757,,
440,Yalta,Yalta,iAPxrtCGGr8,0,27,1233,,
441,Bakhchysarai,Bakhchysarai,vAycmZzP8Lw,0,61,511,,
442,Yevpatoria,Yevpatoria,OoRLyf5_EbI,0,0,423,,
443,Toshkent,Toshkent,BJef1jG0naE,0,7,1549,,
444,Almaty,Almaty,wkWbW8iMFV4,0,0,1616,,
449,Petropavl,Petropavl,fMzlmeiS_YA,0,33,595,,
452,Karagandy,Karagandy,dUolIDYSLN0,0,0,210,,
457,Aral,Aral,_UElDmNKJmk,0,19,1213,,
459,Zhezkazgan,Zhezkazgan,K0yYBqQO4DY,0,7,1289,,
460,Angren,Angren,PpbLyn8YWrg,0,0,32,,
462,Fergana,Fergana,bGNUKviytUk,0,14,756,,
463,Shymkent,Shymkent,S8aCI48xB0c,0,24,1715,,
464,Oskemen,Oskemen,5gj_Ux4msYM,0,6,1538,,
465,Taraz,Taraz,raIjz7zf6sg,0,25,1384,,
466,Qostanai,Qostanai,nBcVo-bllsU,0,0,1832,,
468,Pavlodar,Pavlodar,uhqun1WggI8,0,0,58,,
469,Samarkand,Samarkand,Ov_6Znvur1g,0,22,1100,,
470,Olmaliq,Olmaliq,tZdl6JBQpWI,0,16,1289,,
473,Bishkek,Bishkek,g9zV7uQf4FI,0,92,1003,,
474,Gorno-Altaysk,Gorno-Altaysk,DK3NVxMwIrA,0,50,332,,
475,Tokmok,Tokmok,QfJ_7vGQSgs,0,0,576,,
478,Jalal-Abad,Jalal-Abad,BgCNoUDP4Ns,0,0,905,,
479,Karakol,Karakol,SLpCHGJATkY,0,0,525,,
480,Kyzyl-Kyya,Kyzyl-Kyya,HDxLOg09K-0,0,0,376,,
481,Ashgabat,Ashgabat,3H38ZPwxsO8,0,0,761,,
482,Dushanbe,Dushanbe,oLHPlvDRj8Q,0,6,2952,,
489,Rîbnița,Rîbnița,qJwarRmuv5o,0,21,984,,
490,Donetsk,Donetsk,BsV8oAaiphs,0,0,1248,,
491,Makiivka,Makiivka,aBAuD4GhVQI,0,0,72,,
493,Ilovaisk,Ilovaisk,J9omBy0CIIM,0,0,133,,
495,Kramatorsk,Kramatorsk,_OdVeleKlts,0,0,447,,
497,Makhachkala,Makhachkala,iPsy5THSWU4,0,0,1568,,
498,Shillong,Shillong,aGdgEMeefIg,0,0,1254,,
499,Dibrugarh,Dibrugarh,KEXW5lYrJfo,0,3,353,,
500,Mysore,Mysore,KJUb0-_sMCA,0,47,1825,,
501,Bengaluru,Bengaluru,NdPAVDBjSUA,0,5,1255,,
502,Calangute,Calangute,ChBV1zh37y4,0,5,868,,
503,Coimbatore,Coimbatore,U-ZlI8AY_uw,0,0,665,,
504,Pothencode,Pothencode,h6zuPtiB3rc,0,0,648,,
505,Thiruvananthapuram,Thiruvananthapuram,k7UbcNzseME,0,0,1439,,
506,Pathanamthitta,Pathanamthitta,uAs3nwPM6TU,0,0,1548,,
508,Kottayam,Kottayam,Ae-9_73biLU,0,0,879,,
509,Kochi,Kochi,jf5HcCDLI88,0,0,623,,
511,Thane,Thane,HO2_SqdP8AU,0,52,3397,,
512,Pune,Pune,MxmEz7c_pAw,0,49,1378,,
513,Kolhapur,Kolhapur,yP1jnAbD0rY,0,6,1601,,
514,Karachi,Karachi,o7Qr5q92Zgk,0,5,955,,
515,Kathmandu,Kathmandu,cN4eNspisZM,0,0,1160,,
516,Phnom Penh,Phnom Penh,Wuqi0BNth0k,0,57,1952,,
517,Ta Khmau,Ta Khmau,lt7N2TQlVSE,0,31,1836,,
518,Kampot,Kampot,EGIyh6CXC2o,0,26,1895,,
519,Kampong Chhnang,Kampong Chhnang,lzhWOyj0ew8,0,67,2802,,
520,Takeo,Takeo,HHvBv2lGkCs,0,40,1805,,
522,Ta Khmao,Ta Khmao,njIDklh9MN8,0,11,1105,,
523,Sihanoukville,Sihanoukville,lUDNjOTHOYE,0,100,2520,,
524,Magadan,Magadan,qX1cO8J-V-Y,1,0,237,,
526,Surgut,Surgut,KVy9ZpoMIhg,0,12,410,,
530,Petropavlovsk-Kamchatsky,Petropavlovsk-Kamchatsky,P6nzA2UyUS8,0,28,1623,,
531,Narva,Narva,4m90rSoG5z8,0,64,1303,,
532,Pärnu,Pärnu,W2cGgqKP6t8,0,0,238,,
533,Ulaanbaatar,Ulaanbaatar,CF2TXaXmvkk,0,0,2455,,
534,Georgetown,Georgetown,mNgm1YGQHOg,0,8,1720,,
535,Linden,Linden,tktOLvwDXnE,0,22,755,,
538,Vreed en Hoop,Vreed en Hoop,mTcO_rxJJXE,0,20,374,,
540,Paramaribo,Paramaribo,PymrJ6l75eY,0,52,1001,,
541,Cayenne,Cayenne,f476eozrFmc,0,11,2843,,
542,Oiapoque,Oiapoque,ncnztMwgIiI,0,50,498,,
543,Macapá,Macapá,N8eKQDCYwJI,0,13,1344,,
544,Moengo,Moengo,P08v6qwYuXw,0,55,451,,
545,Ambato,Ambato,KQU-5_VewEw,0,0,1447,,
546,Quito,Quito,3venZOgsaYY,0,0,516,,
549,Tulcán,Tulcán,eJwtHqAJfXg,0,42,745,,
551,Caranavi,Caranavi,T_O4lojb7Wo,0,6,801,,
552,La Paz,La Paz,LJDPBxG1FjU,0,11,3229,,
554,Trinidad,Trinidad,cbocYysKxOc,0,3,2359,,
555,Santa Cruz de la Sierra,Santa Cruz de la Sierra,EKps57wUalI,0,83,2661,,
556,San José de Chiquitos,San José de Chiquitos,v90ZGf3njp0,0,60,367,,
557,Puerto Suárez,Puerto Suárez,949WwaJWsuw,0,15,278,,
558,Aquidauana,Aquidauana,HQXYp2eOngM,0,40,519,,
559,Campo Grande,Campo Grande,98yLpKYBPOM,0,10,2714,,
560,Cochabamba,Cochabamba,sGaOnQ71Skw,0,13,3250,,
561,Oruro,Oruro,kf2JCik_5zI,0,43,2033,,
562,Asunción,Asunción,SyWYr61V_3o,0,12,935,,
563,Punta del Este,Punta del Este,DfCyGGZJe5g,0,26,398,,
564,Chuy,Chuy,lOLKiexEuy4,0,60,350,,
565,José Pedro Varela,José Pedro Varela,ESC_uAlLVbI,0,19,1035,,
566,Minas,Minas,TIlq30myAdY,0,85,380,,
568,Montevideo,Montevideo,Sz9nRHTofkQ,0,1,1393,,
571,Fray Bentos,Fray Bentos,biaaHNOsI3I,1,28,1166,,
572,Guatemala City,Guatemala City,lso5Zyz-sMw,0,33,1343,,
575,Comayagua,Comayagua,coWiD5iJzdc,0,5,2865,,
576,Tegucigalpa,Tegucigalpa,T3eozp8TZpQ,0,95,997,,
577,La Ceiba,La Ceiba,GDOrxIjjSLU,0,21,3207,,
579,San Pedro Sula,San Pedro Sula,wv9KsuviuUM,0,50,1714,,
580,San Salvador,San Salvador,bemqMHN0Dlc,0,5,2185,,
582,Managua,Managua,X2oPzSPsiPQ,0,75,230,,
584,San Juan del Sur,San Juan del Sur,9_TpO0TIJKg,0,26,473,,
585,San José,San José,ZPOuwPi0Ghs,0,0,475,,
