city,state,time,speed
Oujda,,2.23,1.52
Kenema,,2.23,1.9
Niamey,,2.22,1.11
Dushanbe,,2.22,1.21
Guenfouda,,2.22,0.92
Thimphu,,2.21,1.31
Malabo,,2.21,1.81
Coyah,,2.21,1.46
Tartu,,2.21,1.5
Chuka,,2.2,1.66
Armavir,,2.2,1.65
Aveiro,,2.2,1.8
Panama City,,2.2,1.38
Afgoye,,2.19,1.11
Monrovia,,2.18,1.35
Yaoundé,,2.17,1.76
Gżira,,2.17,3.46
Lodrino,,2.17,0.91
Cascais,,2.17,0.86
Lobamba,,2.17,2.45
Pyatigorsk,,2.17,1.47
Fray Bentos,,2.17,0.72
Choloma,,2.17,1.57
Birgu,,2.17,1.54
Novy Urengoy,,2.17,2.43
Benin City,,2.16,1.33
Bizerte,,2.16,1.03
Port Vila,,2.16,1.88
Ilovaisk,,2.15,2.05
Kabala,,2.15,1.66
Peja,,2.15,1.2
San Marino,,2.15,1.41
Irbit,,2.14,2.16
Notsé,,2.14,1.96
Laura,,2.13,0.63
Voronezh,,2.12,0.92
Ambato,,2.12,2.08
Canillo,,2.11,1.08
Huntington Beach,CA,2.11,1.26
Bryansk,,2.1,0.68
Kano,,2.1,1.19
Kutaisi,,2.1,1.43
Gelan,,2.08,0.57
Bo Waterside,,2.08,1.95
Calangute,GA,2.08,1.09
Baranavichy,,2.07,1.27
Sanyang,,2.07,0.79
Al Hoceima,,2.06,1.51
Polotsk,,2.06,2.13
Lekki,,2.05,1.67
Zomba,,2.05,1.89
Tobruk,,2.05,1.38
Brussels,,2.05,0.8
La Massana,,2.05,1.45
Taiz,,2.04,1.45
Nouakchott,,2.04,1.52
Brest,,2.04,1.48
Djibouti,,2.04,1.89
El Harrach,,2.04,1.77
Luanda,,2.02,1.63
Uzhhorod,,2.02,1.64
Sare,,2.01,1.43
Shillong,ML,2.01,1.45
Uman,,2,1.66
Chernivtsi,,2,1.73
Willemstad,,2,1.74
Vanadzor,,2,0.68
Kamensk-Uralsky,,2,1.31
Ndola,,2,1.38
Robertsport,,2,1.24
Korçë,,2,2.1
Amouli,,2,0.84
Old Road Town,,2,0.65
Franceville,,2,1.57
Sisimiut,,2,1.96
Pelican Key,,2,1.81
Arta,,2,3.38
Baucau,,2,1.36
Kitengela,,2,1.62
Malajira,,1.99,1.43
Teyateyaneng,,1.99,1.75
Koidu,,1.99,1.9
Kumasi,,1.98,1.31
Batkanu,,1.98,1.42
Kyzyl-Kyya,,1.98,1.1
Nefza,,1.97,1.17
Sussex,,1.96,1.56
Poti,,1.96,1.84
Pujehun,,1.96,1.75
Soma,,1.96,0.93
Pleebo,,1.96,1.46
Mounana,,1.96,1.89
Mogilev,,1.95,0.79
Salé,,1.95,1.48
Algiers,,1.95,1.84
Boryspil,,1.94,0.93
Chogoria,,1.93,2.17
Aghbalou,,1.93,1.72
Kropyvnytskyi,,1.92,1.93
Zhezkazgan,,1.92,2.2
Marigot,,1.9,1.61
Ufa,,1.9,1.29
Surgut,,1.89,1.16
Buchanan,,1.89,2.16
Kaunas,,1.89,1.51
Moroni,,1.89,1.42
Biabou,,1.88,1.33
Ourika,,1.88,2.38
Narva,,1.88,1.21
Kayanza,,1.87,2.05
Namanga,,1.87,2.11
Aral,,1.85,2.68
Kambia,,1.85,1.71
Elmina,,1.84,1.1
Beira,,1.84,1.61
Cape Coast,,1.84,1.36
Bender,,1.83,1.89
Makwasa,,1.83,2.21
Temara,,1.83,2.71
Ahfir,,1.83,0.91
Samara,,1.83,1.36
Leiria,,1.83,1.31
Żurrieq,,1.83,1.76
Blantyre,,1.83,0.95
