id,name,city,video,time_of_day,start_time,end_time
1462,Wellington12,Wellington,XwD8whHhvgE,1,25,2007
1462,Wellington13,Wellington,JX1IT95bcp8,0,19,165
1462,Wellington15,Wellington,xpw0JO4mfH4,0,0,2323
1462,Wellington19,Wellington,L5A9hr0L8fs,1,10,145
1462,Wellington20,Wellington,VCiC-KqqBn0,0,25,1183
1462,Wellington22,Wellington,b1769ZDFM6I,0,0,3111
1462,Wellington23,Wellington,UUt8Cj8molM,0,0,2464
1462,Wellington24,Wellington,uCmush78B0E,0,0,1310
1463,Idaho Falls1,Idaho Falls,PxFzpJUs3Jw,0,88,1080
1471,Palm Beach3,Palm Beach,znNVVV2uezc,1,22,1050
1471,Palm Beach4,Palm Beach,iiOvT_WQDKc,0,0,616
1471,Palm Beach5,Palm Beach,nl0wFd2yqXA,0,22,765
1471,Palm Beach6,Palm Beach,CoG6nkeWO4U,0,23,1189
1472,Boca Raton2,Boca Raton,3mdeA-l7C9c,0,45,805
1474,Fort Lauderdale2,Fort Lauderdale,Itond3lWhjs,0,0,608
1474,Fort Lauderdale3,Fort Lauderdale,MdtDO468xDU,0,0,901
1474,Fort Lauderdale4,Fort Lauderdale,AOqCW1ACOGA,0,0,1046
1475,Abu Dhabi1,Abu Dhabi,pSpqLsJMbi8,0,22,1840
1475,Abu Dhabi2,Abu Dhabi,IPnf9eF1WWQ,1,18,1300
1475,Abu Dhabi3,Abu Dhabi,Ivf8z4OdfOw,0,26,3490
1475,Abu Dhabi4,Abu Dhabi,3nvz205r4TI,0,35,2146
1475,Abu Dhabi5,Abu Dhabi,NRFajrT2n0E,0,30,4335
1476,St. Moritz1,St. Moritz,MiqKcU3iHPs,0,20,176
1478,Innsbruck1,Innsbruck,ScuXgcLAi_Y,0,34,1732
1479,Stuttgart1,Stuttgart,U4y3wQBwzAM,0,35,2277
1479,Stuttgart2,Stuttgart,C-oUUU5_e-8,0,0,1021
1480,Guttannen1,Guttannen,EhWzJZX_Rss,0,71,175
1485,Interlaken2,Interlaken,UtJJsMDhdxs,0,44,620
1485,Interlaken3,Interlaken,Arz8k37-9F4,0,23,349
1490,Asheville1,Asheville,A6B3KCt0zE0,0,42,3655
1490,Asheville2,Asheville,FBQ0QTfAe6Q,0,0,1208
1491,Bellevue1,Bellevue,BvRSNH6EGU8,1,15,501
1491,Bellevue2,Bellevue,qsH87Osj_zo,0,0,1062
1491,Bellevue3,Bellevue,RlkQczsZ7OM,0,6,2514
1492,Doha1,Doha,w1DX9wNtZrE,1,35,2676
1492,Doha2,Doha,QV7RQsz9mhw,1,49,863
1492,Doha3,Doha,HoYfiJVYAHo,0,82,3558
1492,Doha4,Doha,Jc7iFhpo8dM,0,32,4200
1492,Doha5,Doha,eWouX_RW0jU,1,20,1578
1492,Doha7,Doha,wAwKDCl23tU,1,60,886
1492,Doha8,Doha,AKgXWE6gUG4,1,41,1889
1492,Doha9,Doha,qDOs-it94IQ,0,5,1620
1492,Doha10,Doha,O72aSE8C2bk,0,0,4438
1492,Doha12,Doha,MGihdggnhy4,0,86,1269
1492,Doha13,Doha,_S4EoVPA8AM,0,6,2642
1492,Doha15,Doha,qf4jXk5Q3lQ,0,4,1774
